periodo,ventas_totales,unidades_vendidas,transacciones,margen_estimado,ticket_promedio,variacion_ventas_pct,media_movil_3m
2025-01,6208.13,464,94,1746.28,66.04393617021277,,6208.13
2025-02,8926.11,532,104,2396.65,85.82798076923078,0.4378,7567.12
2025-03,7078.7699999999995,482,113,2002.56,62.64398230088495,-0.207,7404.34
2025-04,8216.6,441,104,2294.61,79.00576923076923,0.1607,8073.83
2025-05,8301.45,489,99,2166.11,83.85303030303031,0.0103,7865.61
2025-06,7033.0199999999995,480,99,2012.1200000000001,71.04060606060605,-0.1528,7850.36
2025-07,9484.79,568,129,2685.5099999999998,73.525503875969,0.3486,8273.09
2025-08,7548.47,539,116,2112.3,65.07301724137932,-0.2042,8022.09
2025-09,9501.31,563,134,2738.75,70.90529850746269,0.2587,8844.86
2025-10,7640.06,474,125,2138.57,61.12048,-0.1959,8229.95
2025-11,11146.95,621,138,2933.51,80.775,0.459,9429.44
2025-12,10747.789999999999,656,147,3032.63,73.11421768707483,-0.0358,9844.93
2026-01,5715.7699999999995,500,97,1668.51,58.92546391752577,-0.4682,9203.5
2026-02,7744.74,414,94,2159.7,82.39085106382979,0.355,8069.43
2026-03,5669.31,384,99,1584.84,57.26575757575758,-0.268,6376.61
2026-04,7219.6900000000005,449,108,2102.47,66.84898148148149,0.2735,6877.91
