fecha,periodo,anio,mes,trimestre,id_producto,producto,categoria,cantidad,precio_unitario,total,total_calculado,diferencia_total,costo,margen_unitario,margen_estimado,margen_pct,stock
2025-01-01,2025-01,2025,1,2025Q1,P018,Arena fina saco 40 kg,Materiales de construcción,12,9.48,113.76,113.76,0.0,7.6,1.88,22.56,0.1983,120
2025-01-01,2025-01,2025,1,2025Q1,P044,Cinta teflón 12 mm,Gasfitería,1,2.05,2.05,2.05,0.0,1.1,0.95,0.95,0.4634,210
2025-01-01,2025-01,2025,1,2025Q1,P008,Llave francesa 10 pulgadas,Herramientas manuales,2,39.88,79.76,79.76,0.0,28.0,11.88,23.76,0.2979,16
2025-01-01,2025-01,2025,1,2025Q1,P052,Perno hexagonal 1/4 ciento,Tornillería y fijaciones,5,19.94,99.7,99.7,0.0,12.5,7.44,37.2,0.3731,58
2025-01-01,2025-01,2025,1,2025Q1,P025,Pintura látex blanca 1 gl,Pinturas,1,49.83,49.83,49.83,0.0,34.0,15.83,15.83,0.3177,38
2025-01-01,2025-01,2025,1,2025Q1,P051,Tarugo plástico 6 mm ciento,Tornillería y fijaciones,3,5.7,17.1,17.1,0.0,3.1,2.6,7.8,0.4561,180
2025-01-01,2025-01,2025,1,2025Q1,P054,Tuerca hexagonal 1/4 ciento,Tornillería y fijaciones,1,10.17,10.17,10.17,0.0,6.0,4.17,4.17,0.41,75
2025-01-02,2025-01,2025,1,2025Q1,P018,Arena fina saco 40 kg,Materiales de construcción,10,9.27,92.7,92.7,0.0,7.6,1.67,16.7,0.1802,120
2025-01-02,2025-01,2025,1,2025Q1,P044,Cinta teflón 12 mm,Gasfitería,10,2.03,20.3,20.3,0.0,1.1,0.93,9.3,0.4581,210
2025-01-02,2025-01,2025,1,2025Q1,P044,Cinta teflón 12 mm,Gasfitería,6,1.93,11.58,11.58,0.0,1.1,0.83,4.98,0.4301,210
2025-01-02,2025-01,2025,1,2025Q1,P001,Martillo de acero 16 oz,Herramientas manuales,2,27.28,54.56,54.56,0.0,18.5,8.78,17.56,0.3218,34
2025-01-02,2025-01,2025,1,2025Q1,P001,Martillo de acero 16 oz,Herramientas manuales,4,27.62,110.48,110.48,0.0,18.5,9.12,36.48,0.3302,34
2025-01-03,2025-01,2025,1,2025Q1,P051,Tarugo plástico 6 mm ciento,Tornillería y fijaciones,2,5.53,11.06,11.06,0.0,3.1,2.43,4.86,0.4394,180
2025-01-03,2025-01,2025,1,2025Q1,P041,Tubo PVC agua 1/2 pulgada,Gasfitería,1,7.87,7.87,7.87,0.0,5.4,2.47,2.47,0.3139,130
2025-01-04,2025-01,2025,1,2025Q1,P033,Cable THW 12 AWG metro,Electricidad,8,3.55,28.4,28.4,0.0,2.4,1.15,9.2,0.3239,420
2025-01-04,2025-01,2025,1,2025Q1,P061,Chaleco reflectivo,Seguridad industrial,3,17.44,52.32,52.32,0.0,11.8,5.64,16.92,0.3234,45
2025-01-04,2025-01,2025,1,2025Q1,P036,Cinta aislante negra,Electricidad,1,3.5,3.5,3.5,0.0,2.1,1.4,1.4,0.4,160
2025-01-04,2025-01,2025,1,2025Q1,P051,Tarugo plástico 6 mm ciento,Tornillería y fijaciones,2,5.4,10.8,10.8,0.0,3.1,2.3,4.6,0.4259,180
2025-01-04,2025-01,2025,1,2025Q1,P049,Tornillo drywall 1 pulgada ciento,Tornillería y fijaciones,3,8.18,24.54,24.54,0.0,4.8,3.38,10.14,0.4132,145
2025-01-04,2025-01,2025,1,2025Q1,P041,Tubo PVC agua 1/2 pulgada,Gasfitería,2,7.81,15.62,15.62,0.0,5.4,2.41,4.82,0.3086,130
2025-01-06,2025-01,2025,1,2025Q1,P037,Foco LED 9W luz fría,Electricidad,10,7.02,70.2,70.2,0.0,4.8,2.22,22.2,0.3162,140
2025-01-06,2025-01,2025,1,2025Q1,P054,Tuerca hexagonal 1/4 ciento,Tornillería y fijaciones,10,9.71,97.1,97.1,0.0,6.0,3.71,37.1,0.3821,75
2025-01-07,2025-01,2025,1,2025Q1,P018,Arena fina saco 40 kg,Materiales de construcción,2,9.78,19.56,19.56,0.0,7.6,2.18,4.36,0.2229,120
2025-01-07,2025-01,2025,1,2025Q1,P039,Canaleta PVC 20x10 mm,Electricidad,8,4.66,37.28,37.28,0.0,3.2,1.46,11.68,0.3133,115
2025-01-07,2025-01,2025,1,2025Q1,P045,Pegamento PVC 1/4 gl,Gasfitería,2,16.99,33.98,33.98,0.0,11.6,5.39,10.78,0.3172,58
